NFC=32, FWIDTH=1
openmp-scalar, 67.4, 0.4086318636621482
openmp-auto, 11.891, 0.04887739763939977
openmp-manual, 14.143, 0.1707659216588606
mpi-scalar, 65.813, 1.3241755925858179
mpi-auto, 21.577, 0.3366615511162511
mpi-auto-optimized, 27.266999999999996, 0.38748032208100525
mpi-manual, 13.145999999999997, 0.24286621831782235
openmp-scalar, 68.381, 0.42716390296934115
openmp-auto, 14.770000000000001, 0.19250974001333032
openmp-manual, 17.767, 0.24601016239171916
mpi-scalar, 60.895999999999994, 0.2751799411294371
mpi-auto, 19.973000000000003, 0.17424408167854627
mpi-auto-optimized, 25.362000000000002, 0.3357320360049071
mpi-manual, 12.283000000000001, 0.11679469166019477
openmp-scalar, 70.15599999999999, 0.6070123557226844
openmp-auto, 14.031, 0.14679577650600173
openmp-manual, 18.214, 0.3181571938523475
mpi-scalar, 60.492999999999995, 0.48344699812906095
mpi-auto, 20.171, 0.29442995771490404
mpi-auto-optimized, 25.153, 0.36562412393057403
mpi-manual, 12.412, 0.21136697944570265
openmp-scalar, 72.783, 0.2555014677061571
openmp-auto, 14.531, 0.2382204861047851
openmp-manual, 18.912, 0.36937244076947595
mpi-scalar, 58.06, 0.103537432844358
mpi-auto, 19.229000000000003, 0.15858436240689103
mpi-auto-optimized, 24.008999999999997, 0.08178630692236935
mpi-manual, 11.957, 0.07550496672405041
